zones,zoning_correlation,grouping_correlation
6,0.5358215749365971,0.8887942324992112
12,0.6769894468982032,0.7672636812996007
18,0.27616325371674755,0.7207012663091193
24,0.6061330423052057,0.6697073126704125
30,0.2664913456820197,0.4532176022398696
36,0.3722574775818206,0.36285961748723217
42,0.2907277960081148,0.4030438069472864
48,0.20998712279767384,0.35703715758907967
54,0.40028594841094156,0.2999204138565356
60,0.21629967220128085,0.4006759314314157
66,0.2345479694985271,0.21800712996808605
72,0.2575238188213802,0.32857011403282216
78,0.23564005621818687,0.20161574385850067
98,0.22051120010778835,0.2168766730851236
